Year,Region,RegionIndex,KER_price ($/kg),CO2_price ($/kgCO2)
2015,AFE,0,0.545538757,0.0
2015,AFN,1,0.545538757,0.0
2015,AFW,2,0.545538757,0.0
2015,AFZ,3,0.545538757,0.0
2015,NIG,4,0.545538757,0.0
2015,RUS,5,0.544065416,0.0
2015,ASC,6,0.556111046,0.0
2015,ASE,7,0.556111046,0.0
2015,CHN,8,0.564907589,0.0
2015,IDN,9,0.556111046,0.0
2015,IND,10,0.523731384,0.0
2015,ASO,11,0.556111046,0.0
2015,JPN,12,0.5074135,0.0
2015,SKT,13,0.480704276,0.0
2015,ANZ,14,0.558335416,0.0
2015,USA,15,0.566435713,0.0
2015,CAN,16,0.591273836,0.0
2015,LAM,17,0.562202936,0.0
2015,BRA,18,0.562202936,0.0
2015,MEX,19,0.565343666,0.0
2015,CHL,20,0.562202936,0.0
2015,ENE,21,0.555892998,0.0
2015,ENW,22,0.555892998,0.0
2015,EUE,23,0.554034903,0.0
2015,EUW,24,0.554034903,0.0
2015,EUM,25,0.554034903,0.0
2015,MEA,26,0.546399031,0.0
2015,MDA,27,0.546399031,0.0
2015,UK,28,0.554074944,0.090706833
2016,AFE,0,0.560060975,0.0
2016,AFN,1,0.560060975,0.0
2016,AFW,2,0.560060975,0.0
2016,AFZ,3,0.560060975,0.0
2016,NIG,4,0.560060975,0.0
2016,RUS,5,0.563595895,0.0
2016,ASC,6,0.575506355,0.0
2016,ASE,7,0.575506355,0.0
2016,CHN,8,0.584438067,0.0
2016,IDN,9,0.575506355,0.0
2016,IND,10,0.548403499,0.0
2016,ASO,11,0.575506355,0.0
2016,JPN,12,0.515366362,0.0
2016,SKT,13,0.491438132,0.0
2016,ANZ,14,0.577765279,0.0
2016,USA,15,0.581838397,0.0
2016,CAN,16,0.61382399,0.0
2016,LAM,17,0.578790336,0.0
2016,BRA,18,0.578790336,0.0
2016,MEX,19,0.580843441,0.0
2016,CHL,20,0.578790336,0.0
2016,ENE,21,0.572451208,0.0
2016,ENW,22,0.572451208,0.0
2016,EUE,23,0.570171007,0.0
2016,EUW,24,0.570171007,0.0
2016,EUM,25,0.570171007,0.0
2016,MEA,26,0.565645104,0.0
2016,MDA,27,0.565645104,0.0
2016,UK,28,0.570219057,0.108848199
2017,AFE,0,0.574583192,0.0
2017,AFN,1,0.574583192,0.0
2017,AFW,2,0.574583192,0.0
2017,AFZ,3,0.574583192,0.0
2017,NIG,4,0.574583192,0.0
2017,RUS,5,0.583126373,0.0
2017,ASC,6,0.594901664,0.0
2017,ASE,7,0.594901664,0.0
2017,CHN,8,0.603968546,0.0
2017,IDN,9,0.594901664,0.0
2017,IND,10,0.573075613,0.0
2017,ASO,11,0.594901664,0.0
2017,JPN,12,0.523319224,0.0
2017,SKT,13,0.502171988,0.0
2017,ANZ,14,0.597195142,0.0
2017,USA,15,0.597241081,0.0
2017,CAN,16,0.636374144,0.0
2017,LAM,17,0.595377736,0.0
2017,BRA,18,0.595377736,0.0
2017,MEX,19,0.596343215,0.0
2017,CHL,20,0.595377736,0.0
2017,ENE,21,0.589009419,0.0
2017,ENW,22,0.589009419,0.0
2017,EUE,23,0.586307112,0.0
2017,EUW,24,0.586307112,0.0
2017,EUM,25,0.586307112,0.0
2017,MEA,26,0.584891176,0.0
2017,MDA,27,0.584891176,0.0
2017,UK,28,0.58636317,0.126989566
2018,AFE,0,0.589105409,0.0
2018,AFN,1,0.589105409,0.0
2018,AFW,2,0.589105409,0.0
2018,AFZ,3,0.589105409,0.0
2018,NIG,4,0.589105409,0.0
2018,RUS,5,0.602656852,0.0
2018,ASC,6,0.614296974,0.0
2018,ASE,7,0.614296974,0.0
2018,CHN,8,0.623499025,0.0
2018,IDN,9,0.614296974,0.0
2018,IND,10,0.597747727,0.0
2018,ASO,11,0.614296974,0.0
2018,JPN,12,0.531272086,0.0
2018,SKT,13,0.512905844,0.0
2018,ANZ,14,0.616625005,0.0
2018,USA,15,0.612643765,0.0
2018,CAN,16,0.658924298,0.0
2018,LAM,17,0.611965136,0.0
2018,BRA,18,0.611965136,0.0
2018,MEX,19,0.61184299,0.0
2018,CHL,20,0.611965136,0.0
2018,ENE,21,0.60556763,0.0
2018,ENW,22,0.60556763,0.0
2018,EUE,23,0.602443216,0.0
2018,EUW,24,0.602443216,0.0
2018,EUM,25,0.602443216,0.0
2018,MEA,26,0.604137249,0.0
2018,MDA,27,0.604137249,0.0
2018,UK,28,0.602507283,0.145130932
2019,AFE,0,0.603627627,0.0
2019,AFN,1,0.603627627,0.0
2019,AFW,2,0.603627627,0.0
2019,AFZ,3,0.603627627,0.0
2019,NIG,4,0.603627627,0.0
2019,RUS,5,0.62218733,0.0
2019,ASC,6,0.633692283,0.0
2019,ASE,7,0.633692283,0.0
2019,CHN,8,0.643029503,0.0
2019,IDN,9,0.633692283,0.0
2019,IND,10,0.622419841,0.0
2019,ASO,11,0.633692283,0.0
2019,JPN,12,0.539224947,0.0
2019,SKT,13,0.523639701,0.0
2019,ANZ,14,0.636054868,0.0
2019,USA,15,0.628046449,0.0
2019,CAN,16,0.681474451,0.0
2019,LAM,17,0.628552536,0.0
2019,BRA,18,0.628552536,0.0
2019,MEX,19,0.627342765,0.0
2019,CHL,20,0.628552536,0.0
2019,ENE,21,0.62212584,0.0
2019,ENW,22,0.62212584,0.0
2019,EUE,23,0.61857932,0.0
2019,EUW,24,0.61857932,0.0
2019,EUM,25,0.61857932,0.0
2019,MEA,26,0.623383321,0.0
2019,MDA,27,0.623383321,0.0
2019,UK,28,0.618651396,0.163272299
2020,AFE,0,0.618149844,0.0
2020,AFN,1,0.618149844,0.0
2020,AFW,2,0.618149844,0.0
2020,AFZ,3,0.618149844,0.0
2020,NIG,4,0.618149844,0.0
2020,RUS,5,0.641717808,0.0
2020,ASC,6,0.653087592,0.0
2020,ASE,7,0.653087592,0.0
2020,CHN,8,0.662559982,0.0
2020,IDN,9,0.653087592,0.0
2020,IND,10,0.647091955,0.0
2020,ASO,11,0.653087592,0.0
2020,JPN,12,0.547177809,0.0
2020,SKT,13,0.534373557,0.0
2020,ANZ,14,0.655484732,0.0
2020,USA,15,0.643449133,0.0
2020,CAN,16,0.704024605,0.0
2020,LAM,17,0.645139936,0.0
2020,BRA,18,0.645139936,0.0
2020,MEX,19,0.64284254,0.0
2020,CHL,20,0.645139936,0.0
2020,ENE,21,0.638684051,0.0
2020,ENW,22,0.638684051,0.0
2020,EUE,23,0.634715424,0.0
2020,EUW,24,0.634715424,0.0
2020,EUM,25,0.634715424,0.0
2020,MEA,26,0.642629393,0.0
2020,MDA,27,0.642629393,0.0
2020,UK,28,0.634795509,0.181413665
2021,AFE,0,0.620261235,0.0
2021,AFN,1,0.620261235,0.0
2021,AFW,2,0.620261235,0.0
2021,AFZ,3,0.620261235,0.0
2021,NIG,4,0.620261235,0.0
2021,RUS,5,0.64198566,0.0
2021,ASC,6,0.654041603,0.0
2021,ASE,7,0.654041603,0.0
2021,CHN,8,0.662827833,1.16e-15
2021,IDN,9,0.654041603,0.0
2021,IND,10,0.648106377,0.0
2021,ASO,11,0.654041603,0.0
2021,JPN,12,0.552968943,0.0
2021,SKT,13,0.537938384,0.0
2021,ANZ,14,0.655821626,0.0
2021,USA,15,0.642215689,0.0
2021,CAN,16,0.698699652,0.0
2021,LAM,17,0.644027001,0.0
2021,BRA,18,0.644027001,0.0
2021,MEX,19,0.641886699,0.0
2021,CHL,20,0.644027001,0.0
2021,ENE,21,0.639438088,0.0
2021,ENW,22,0.639438088,0.0
2021,EUE,23,0.635698764,0.0
2021,EUW,24,0.635698764,0.0
2021,EUM,25,0.635698764,0.0
2021,MEA,26,0.643688779,0.0
2021,MDA,27,0.643688779,0.0
2021,UK,28,0.63577084,0.163272299
2022,AFE,0,0.622372625,0.0
2022,AFN,1,0.622372625,0.0
2022,AFW,2,0.622372625,0.0
2022,AFZ,3,0.622372625,0.0
2022,NIG,4,0.622372625,0.0
2022,RUS,5,0.642253511,0.0
2022,ASC,6,0.654995614,0.0
2022,ASE,7,0.654995614,0.0
2022,CHN,8,0.663095684,2.31e-15
2022,IDN,9,0.654995614,0.0
2022,IND,10,0.649120799,0.0
2022,ASO,11,0.654995614,0.0
2022,JPN,12,0.558760076,0.0
2022,SKT,13,0.541503211,0.0
2022,ANZ,14,0.656158521,0.0
2022,USA,15,0.640982245,0.0
2022,CAN,16,0.693374698,0.0
2022,LAM,17,0.642914065,0.0
2022,BRA,18,0.642914065,0.0
2022,MEX,19,0.640930859,0.0
2022,CHL,20,0.642914065,0.0
2022,ENE,21,0.640192125,0.0
2022,ENW,22,0.640192125,0.0
2022,EUE,23,0.636682103,0.0
2022,EUW,24,0.636682103,0.0
2022,EUM,25,0.636682103,0.0
2022,MEA,26,0.644748164,0.0
2022,MDA,27,0.644748164,0.0
2022,UK,28,0.636746171,0.145130932
2023,AFE,0,0.624484016,0.0
2023,AFN,1,0.624484016,0.0
2023,AFW,2,0.624484016,0.0
2023,AFZ,3,0.624484016,0.0
2023,NIG,4,0.624484016,0.0
2023,RUS,5,0.642521362,0.0
2023,ASC,6,0.655949626,0.0
2023,ASE,7,0.655949626,0.0
2023,CHN,8,0.663363535,3.47e-15
2023,IDN,9,0.655949626,0.0
2023,IND,10,0.65013522,0.0
2023,ASO,11,0.655949626,0.0
2023,JPN,12,0.56455121,0.0
2023,SKT,13,0.545068038,0.0
2023,ANZ,14,0.656495415,0.0
2023,USA,15,0.6397488,0.0
2023,CAN,16,0.688049744,0.0
2023,LAM,17,0.64180113,0.0
2023,BRA,18,0.64180113,0.0
2023,MEX,19,0.639975019,0.0
2023,CHL,20,0.64180113,0.0
2023,ENE,21,0.640946161,0.0
2023,ENW,22,0.640946161,0.0
2023,EUE,23,0.637665442,0.0
2023,EUW,24,0.637665442,0.0
2023,EUM,25,0.637665442,0.0
2023,MEA,26,0.645807549,0.0
2023,MDA,27,0.645807549,0.0
2023,UK,28,0.637721501,0.126989566
2024,AFE,0,0.626595406,0.0
2024,AFN,1,0.626595406,0.0
2024,AFW,2,0.626595406,0.0
2024,AFZ,3,0.626595406,0.0
2024,NIG,4,0.626595406,0.0
2024,RUS,5,0.642789213,0.0
2024,ASC,6,0.656903637,0.0
2024,ASE,7,0.656903637,0.0
2024,CHN,8,0.663631386,4.63e-15
2024,IDN,9,0.656903637,0.0
2024,IND,10,0.651149642,0.0
2024,ASO,11,0.656903637,0.0
2024,JPN,12,0.570342343,0.0
2024,SKT,13,0.548632865,0.0
2024,ANZ,14,0.65683231,0.0
2024,USA,15,0.638515356,0.0
2024,CAN,16,0.682724791,0.0
2024,LAM,17,0.640688195,0.0
2024,BRA,18,0.640688195,0.0
2024,MEX,19,0.639019179,0.0
2024,CHL,20,0.640688195,0.0
2024,ENE,21,0.641700198,0.0
2024,ENW,22,0.641700198,0.0
2024,EUE,23,0.638648781,0.0
2024,EUW,24,0.638648781,0.0
2024,EUM,25,0.638648781,0.0
2024,MEA,26,0.646866935,0.0
2024,MDA,27,0.646866935,0.0
2024,UK,28,0.638696832,0.108848199
2025,AFE,0,0.628706797,0.0
2025,AFN,1,0.628706797,0.0
2025,AFW,2,0.628706797,0.0
2025,AFZ,3,0.628706797,0.0
2025,NIG,4,0.628706797,0.0
2025,RUS,5,0.643057065,0.0
2025,ASC,6,0.657857648,0.0
2025,ASE,7,0.657857648,0.0
2025,CHN,8,0.663899237,5.78e-15
2025,IDN,9,0.657857648,0.0
2025,IND,10,0.652164063,0.0
2025,ASO,11,0.657857648,0.0
2025,JPN,12,0.576133477,0.0
2025,SKT,13,0.552197692,0.0
2025,ANZ,14,0.657169205,0.0
2025,USA,15,0.637281912,0.0
2025,CAN,16,0.677399837,0.0
2025,LAM,17,0.63957526,0.0
2025,BRA,18,0.63957526,0.0
2025,MEX,19,0.638063339,0.0
2025,CHL,20,0.63957526,0.0
2025,ENE,21,0.642454235,0.0
2025,ENW,22,0.642454235,0.0
2025,EUE,23,0.63963212,0.0
2025,EUW,24,0.63963212,0.0
2025,EUM,25,0.63963212,0.0
2025,MEA,26,0.64792632,0.0
2025,MDA,27,0.64792632,0.0
2025,UK,28,0.639672162,0.090706833
2026,AFE,0,0.630818187,0.0
2026,AFN,1,0.630818187,0.0
2026,AFW,2,0.630818187,0.0
2026,AFZ,3,0.630818187,0.0
2026,NIG,4,0.630818187,0.0
2026,RUS,5,0.643324916,0.0
2026,ASC,6,0.658811659,0.0
2026,ASE,7,0.658811659,0.0
2026,CHN,8,0.664167088,6.94e-15
2026,IDN,9,0.658811659,0.0
2026,IND,10,0.653178485,0.0
2026,ASO,11,0.658811659,0.0
2026,JPN,12,0.581924611,0.0
2026,SKT,13,0.555762519,0.0
2026,ANZ,14,0.657506099,0.0
2026,USA,15,0.636048467,0.0
2026,CAN,16,0.672074883,0.0
2026,LAM,17,0.638462325,0.0
2026,BRA,18,0.638462325,0.0
2026,MEX,19,0.637107499,0.0
2026,CHL,20,0.638462325,0.0
2026,ENE,21,0.643208272,0.0
2026,ENW,22,0.643208272,0.0
2026,EUE,23,0.640615459,0.0
2026,EUW,24,0.640615459,0.0
2026,EUM,25,0.640615459,0.0
2026,MEA,26,0.648985705,0.0
2026,MDA,27,0.648985705,0.0
2026,UK,28,0.640647493,0.072565466
2027,AFE,0,0.632929578,0.0
2027,AFN,1,0.632929578,0.0
2027,AFW,2,0.632929578,0.0
2027,AFZ,3,0.632929578,0.0
2027,NIG,4,0.632929578,0.0
2027,RUS,5,0.643592767,0.0
2027,ASC,6,0.659765671,0.0
2027,ASE,7,0.659765671,0.0
2027,CHN,8,0.664434939,8.1e-15
2027,IDN,9,0.659765671,0.0
2027,IND,10,0.654192907,0.0
2027,ASO,11,0.659765671,0.0
2027,JPN,12,0.587715744,0.0
2027,SKT,13,0.559327346,0.0
2027,ANZ,14,0.657842994,0.0
2027,USA,15,0.634815023,0.0
2027,CAN,16,0.666749929,0.0
2027,LAM,17,0.63734939,0.0
2027,BRA,18,0.63734939,0.0
2027,MEX,19,0.636151659,0.0
2027,CHL,20,0.63734939,0.0
2027,ENE,21,0.643962309,0.0
2027,ENW,22,0.643962309,0.0
2027,EUE,23,0.641598798,0.0
2027,EUW,24,0.641598798,0.0
2027,EUM,25,0.641598798,0.0
2027,MEA,26,0.65004509,0.0
2027,MDA,27,0.65004509,0.0
2027,UK,28,0.641622824,0.0544241
2028,AFE,0,0.635040968,0.0
2028,AFN,1,0.635040968,0.0
2028,AFW,2,0.635040968,0.0
2028,AFZ,3,0.635040968,0.0
2028,NIG,4,0.635040968,0.0
2028,RUS,5,0.643860619,0.0
2028,ASC,6,0.660719682,0.0
2028,ASE,7,0.660719682,0.0
2028,CHN,8,0.66470279,9.25e-15
2028,IDN,9,0.660719682,0.0
2028,IND,10,0.655207328,0.0
2028,ASO,11,0.660719682,0.0
2028,JPN,12,0.593506878,0.0
2028,SKT,13,0.562892173,0.0
2028,ANZ,14,0.658179889,0.0
2028,USA,15,0.633581579,0.0
2028,CAN,16,0.661424976,0.0
2028,LAM,17,0.636236454,0.0
2028,BRA,18,0.636236454,0.0
2028,MEX,19,0.635195819,0.0
2028,CHL,20,0.636236454,0.0
2028,ENE,21,0.644716346,0.0
2028,ENW,22,0.644716346,0.0
2028,EUE,23,0.642582137,0.0
2028,EUW,24,0.642582137,0.0
2028,EUM,25,0.642582137,0.0
2028,MEA,26,0.651104476,0.0
2028,MDA,27,0.651104476,0.0
2028,UK,28,0.642598154,0.036282733
2029,AFE,0,0.637152359,0.0
2029,AFN,1,0.637152359,0.0
2029,AFW,2,0.637152359,0.0
2029,AFZ,3,0.637152359,0.0
2029,NIG,4,0.637152359,0.0
2029,RUS,5,0.64412847,0.0
2029,ASC,6,0.661673693,0.0
2029,ASE,7,0.661673693,0.0
2029,CHN,8,0.664970642,1.04e-14
2029,IDN,9,0.661673693,0.0
2029,IND,10,0.65622175,0.0
2029,ASO,11,0.661673693,0.0
2029,JPN,12,0.599298011,0.0
2029,SKT,13,0.566457,0.0
2029,ANZ,14,0.658516783,0.0
2029,USA,15,0.632348134,0.0
2029,CAN,16,0.656100022,0.0
2029,LAM,17,0.635123519,0.0
2029,BRA,18,0.635123519,0.0
2029,MEX,19,0.634239978,0.0
2029,CHL,20,0.635123519,0.0
2029,ENE,21,0.645470383,0.0
2029,ENW,22,0.645470383,0.0
2029,EUE,23,0.643565477,0.0
2029,EUW,24,0.643565477,0.0
2029,EUM,25,0.643565477,0.0
2029,MEA,26,0.652163861,0.0
2029,MDA,27,0.652163861,0.0
2029,UK,28,0.643573485,0.018141367
2030,AFE,0,0.639263749,0.0
